1616189820,49177.72,49177.8,49177.8,49177.72,0.00044553
1616189760,49172.6,49231.47,49212.19,49180.79,0.19973796
1616189700,49211.38,49236.56,49236.56,49236.19,0.29256121
1616189640,49215.64,49259.12,49250.48,49236.71,0.45294685
1616189580,49249.26,49273.09,49270.19,49259.53,0.4369465
1616189520,49243.33,49270.18,49245.22,49256.42,0.39272558
1616189460,49243.27,49272.98,49259.2,49264.83,0.58842832
1616189400,49259.2,49303.37,49277.69,49281.1,0.88847301
1616189340,49270.24,49299.67,49270.24,49299.67,0.3099803
1616189280,49257.67,49284.38,49266.43,49284.35,0.21018461
1616189220,49233.67,49266.43,49234.53,49266.43,0.06972919
1616189160,49219.95,49290.37,49290.37,49221.11,0.14686315
1616189100,49286.35,49302.07,49300,49301.06,0.16911473
1616189040,49298.2,49302.07,49302.07,49302.06,0.068974
1616188980,49284.88,49310.15,49293.28,49294.27,0.10810352
1616188920,49217.45,49297.22,49217.45,49297.22,0.15772754
1616188860,49229.84,49339.09,49304.16,49229.84,0.43827282
1616188800,49279.7,49318.47,49298.15,49290.66,0.66886323
1616188740,49201.65,49317.99,49201.65,49317.99,1.71235227
1616188680,49188.02,49307.82,49293.23,49188.02,0.64832074
1616188620,49293.23,49318.14,49318.14,49297.63,0.06104307
1616188560,49312.75,49342.33,49342.32,49318.37,0.60964665
1616188500,49298.16,49342.32,49300,49342.32,1.8418922
1616188440,49293.83,49300,49299.99,49300,0.87511128
1616188380,49246.69,49300,49246.69,49299.99,0.70951412
1616188320,49187.4,49282.59,49282.55,49236.21,0.67589503
1616188260,49167.34,49299.92,49193.38,49263.7,1.14922368
1616188200,49167.34,49288.7,49260.09,49193.37,1.32342463
1616188140,49258.2,49292.96,49284.2,49258.2,0.09025221
1616188080,49253.13,49313.6,49264.6,49284.21,1.01575439
1616188020,49153.34,49275.47,49172.6,49275.22,0.97432949
1616187960,49127.74,49173.57,49173.57,49172.62,0.71921014
1616187900,49102.2,49215.48,49201.03,49140,5.94977587
1616187840,49175.01,49201.7,49175.01,49200.66,0.16912388
1616187780,49067.8,49177.58,49067.8,49177.52,2.76500591
1616187720,49044.82,49068.2,49049.95,49067.87,0.41993005
1616187660,49016.63,49065.17,49016.63,49046,0.30429641
1616187600,49009.7,49080,49080,49031.55,0.7931264
1616187540,49080,49107.71,49085.78,49080,0.45412511
1616187480,49039.7,49098.61,49063.53,49098.58,0.29121156
1616187420,49035.64,49123.84,49091.74,49063.53,1.7850426
